quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.62,
	""maxJailTerm"":30,
	""movement"":false,
	""tickTime"":1000
}",,,
1118,402,0,,,,,,,,,
408,1048,64,,,,,,,,,
407,987,126,,,,,,,,,
407,928,185,,,,,,,,,
407,873,240,,,,,,,,,
407,818,295,,,,,,,,,
407,766,347,,,,,,,,,
407,712,401,,,,,,,,,
407,662,451,,,,,,,,,
407,615,498,,,,,,,,,
407,563,550,,,,,,,,,
407,530,583,,,,,,,,,
407,496,617,,,,,,,,,
407,463,650,,,,,,,,,
407,429,684,,,,,,,,,
407,397,716,,,,,,,,,
407,375,738,,,,,,,,,
408,352,760,,,,,,,,,
407,341,772,,,,,,,,,
407,320,793,,,,,,,,,
408,305,807,,,,,,,,,
407,303,810,,,,,,,,,
407,291,822,,,,,,,,,
407,272,841,,,,,,,,,
407,268,845,,,,,,,,,
407,271,842,,,,,,,,,
407,259,854,,,,,,,,,
408,248,864,,,,,,,,,
407,235,878,,,,,,,,,
407,245,868,,,,,,,,,
407,235,878,,,,,,,,,
407,236,877,,,,,,,,,
407,239,874,,,,,,,,,
407,232,881,,,,,,,,,
407,227,886,,,,,,,,,
407,218,895,,,,,,,,,
407,214,899,,,,,,,,,
407,210,903,,,,,,,,,
407,218,895,,,,,,,,,
407,200,913,,,,,,,,,
407,198,915,,,,,,,,,
407,200,913,,,,,,,,,
407,193,920,,,,,,,,,
407,198,915,,,,,,,,,
407,198,915,,,,,,,,,
407,177,936,,,,,,,,,
407,179,934,,,,,,,,,
407,186,927,,,,,,,,,
407,188,925,,,,,,,,,
407,190,923,,,,,,,,,
408,190,922,,,,,,,,,
407,200,913,,,,,,,,,
408,193,919,,,,,,,,,
408,190,922,,,,,,,,,
407,203,910,,,,,,,,,
407,218,895,,,,,,,,,
407,212,901,,,,,,,,,
407,237,876,,,,,,,,,
407,250,863,,,,,,,,,
407,256,857,,,,,,,,,
407,251,862,,,,,,,,,
407,249,864,,,,,,,,,
407,263,850,,,,,,,,,
407,262,851,,,,,,,,,
407,257,856,,,,,,,,,
407,252,861,,,,,,,,,
407,234,879,,,,,,,,,
407,223,890,,,,,,,,,
407,222,891,,,,,,,,,
407,228,885,,,,,,,,,
407,209,904,,,,,,,,,
407,199,914,,,,,,,,,
407,193,920,,,,,,,,,
407,182,931,,,,,,,,,
407,185,928,,,,,,,,,
407,194,919,,,,,,,,,
408,185,927,,,,,,,,,
407,189,924,,,,,,,,,
407,196,917,,,,,,,,,
407,186,927,,,,,,,,,
407,175,938,,,,,,,,,
407,170,943,,,,,,,,,
408,166,946,,,,,,,,,
407,171,942,,,,,,,,,
409,157,954,,,,,,,,,
407,141,972,,,,,,,,,
407,128,985,,,,,,,,,
408,141,971,,,,,,,,,
407,139,974,,,,,,,,,
407,155,958,,,,,,,,,
407,155,958,,,,,,,,,
407,161,952,,,,,,,,,
408,158,954,,,,,,,,,
