quiet,active,jailed
1497,23,0
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,8,15
1497,9,14
1497,7,16
1497,8,15
1497,7,16
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,9,14
1497,7,16
1497,8,15
1497,8,15
1497,8,15
1497,7,16
1497,7,16
1497,8,15
1497,8,15
1497,10,13
1497,8,15
1497,10,13
1497,8,15
1497,7,16
1497,7,16
1497,8,15
1497,9,14
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,9,14
1497,8,15
1497,9,14
1497,8,15
1497,8,15
1497,8,15
1497,9,14
1497,8,15
1497,9,14
1497,7,16
1497,7,16
1497,8,15
1497,9,14
1497,8,15
1497,8,15
1497,8,15
1497,7,16
1497,8,15
1497,8,15
1497,8,15
1497,7,16
1497,8,15
1497,8,15
1497,8,15
1497,7,16
1497,10,13
1497,8,15
1497,9,14
1497,8,15
1497,8,15
1497,9,14
1497,9,14
1497,7,16
1497,9,14
1497,8,15
1497,7,16
1497,7,16
1497,8,15
1497,7,16
1497,7,16
1497,9,14
1497,12,11
1497,8,15
1497,10,13
1497,9,14
1497,7,16
1497,7,16
1497,7,16
1497,9,14
1497,8,15
1497,7,16
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,8,15
1497,9,14
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,11,12
1497,8,15
1497,8,15
1497,8,15
1497,8,15
1497,9,14
1497,9,14
1497,7,16
1497,7,16
1497,8,15
1497,10,13
1497,10,13
1497,8,15
1497,10,13
1497,10,13
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,7,16
1497,9,14
1497,7,16
1497,10,13
1497,9,14
1497,7,16
1497,8,15
1497,8,15
1497,7,16
1497,10,13
1497,9,14
1497,8,15
1497,9,14
1497,7,16
1497,8,15
1497,7,16
1497,8,15
1497,9,14
1497,8,15
1497,7,16
1497,8,15
1497,7,16
1497,7,16
1497,10,13
1497,8,15
1497,7,16
1497,7,16
1497,7,16
1497,10,13
1497,8,15
1497,8,15
1497,9,14
1497,7,16
1497,10,13
1497,8,15
1497,7,16
1497,10,13
