quiet,active,jailed,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.70,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":true,
	""tickTime"":1000
}",,,
1032,49,39,,,,,,,,
844,187,89,,,,,,,,
675,297,148,,,,,,,,
673,244,203,,,,,,,,
696,166,258,,,,,,,,
719,94,307,,,,,,,,
754,39,327,,,,,,,,
775,11,334,,,,,,,,
791,0,329,,,,,,,,
799,1,320,,,,,,,,
810,1,309,,,,,,,,
825,1,294,,,,,,,,
838,2,280,,,,,,,,
853,1,266,,,,,,,,
868,0,252,,,,,,,,
883,0,237,,,,,,,,
893,0,227,,,,,,,,
904,0,216,,,,,,,,
913,2,205,,,,,,,,
926,1,193,,,,,,,,
929,9,182,,,,,,,,
931,9,180,,,,,,,,
938,6,176,,,,,,,,
946,4,170,,,,,,,,
966,1,153,,,,,,,,
921,36,163,,,,,,,,
855,76,189,,,,,,,,
776,124,220,,,,,,,,
747,113,260,,,,,,,,
751,67,302,,,,,,,,
784,23,313,,,,,,,,
816,4,300,,,,,,,,
835,4,281,,,,,,,,
852,3,265,,,,,,,,
873,0,247,,,,,,,,
882,2,236,,,,,,,,
898,1,221,,,,,,,,
899,5,216,,,,,,,,
874,27,219,,,,,,,,
867,28,225,,,,,,,,
863,30,227,,,,,,,,
876,12,232,,,,,,,,
885,2,233,,,,,,,,
903,0,217,,,,,,,,
921,0,199,,,,,,,,
931,0,189,,,,,,,,
941,0,179,,,,,,,,
954,0,166,,,,,,,,
960,2,158,,,,,,,,
964,4,152,,,,,,,,
979,2,139,,,,,,,,
986,4,130,,,,,,,,
958,22,140,,,,,,,,
888,77,155,,,,,,,,
806,127,187,,,,,,,,
761,131,228,,,,,,,,
737,108,275,,,,,,,,
764,52,304,,,,,,,,
774,23,323,,,,,,,,
800,3,317,,,,,,,,
819,1,300,,,,,,,,
833,1,286,,,,,,,,
841,0,279,,,,,,,,
853,0,267,,,,,,,,
867,0,253,,,,,,,,
878,0,242,,,,,,,,
893,0,227,,,,,,,,
912,0,208,,,,,,,,
909,7,204,,,,,,,,
925,1,194,,,,,,,,
937,0,183,,,,,,,,
947,1,172,,,,,,,,
931,10,179,,,,,,,,
924,18,178,,,,,,,,
881,40,199,,,,,,,,
841,55,224,,,,,,,,
826,48,246,,,,,,,,
806,37,277,,,,,,,,
812,19,289,,,,,,,,
845,4,271,,,,,,,,
867,3,250,,,,,,,,
888,1,231,,,,,,,,
900,1,219,,,,,,,,
911,4,205,,,,,,,,
902,14,204,,,,,,,,
906,7,207,,,,,,,,
917,9,194,,,,,,,,
920,10,190,,,,,,,,
923,5,192,,,,,,,,
935,5,180,,,,,,,,
943,3,174,,,,,,,,
948,2,170,,,,,,,,
934,7,179,,,,,,,,
952,1,167,,,,,,,,
957,1,162,,,,,,,,
943,13,164,,,,,,,,
897,40,183,,,,,,,,
860,54,206,,,,,,,,
835,46,239,,,,,,,,
842,24,254,,,,,,,,
856,10,254,,,,,,,,
882,0,238,,,,,,,,
903,1,216,,,,,,,,
923,1,196,,,,,,,,
938,0,182,,,,,,,,
950,0,170,,,,,,,,
961,0,159,,,,,,,,
960,4,156,,,,,,,,
945,17,158,,,,,,,,
932,21,167,,,,,,,,
920,23,177,,,,,,,,
889,37,194,,,,,,,,
860,39,221,,,,,,,,
827,43,250,,,,,,,,
847,27,246,,,,,,,,
857,14,249,,,,,,,,
858,15,247,,,,,,,,
860,25,235,,,,,,,,
862,23,235,,,,,,,,
873,13,234,,,,,,,,
885,3,232,,,,,,,,
897,0,223,,,,,,,,
903,1,216,,,,,,,,
920,4,196,,,,,,,,
914,6,200,,,,,,,,
917,9,194,,,,,,,,
909,16,195,,,,,,,,
883,24,213,,,,,,,,
870,19,231,,,,,,,,
875,12,233,,,,,,,,
889,4,227,,,,,,,,
897,2,221,,,,,,,,
914,0,206,,,,,,,,
912,7,201,,,,,,,,
909,12,199,,,,,,,,
909,16,195,,,,,,,,
921,11,188,,,,,,,,
908,15,197,,,,,,,,
888,25,207,,,,,,,,
876,29,215,,,,,,,,
849,36,235,,,,,,,,
853,27,240,,,,,,,,
874,10,236,,,,,,,,
886,6,228,,,,,,,,
907,1,212,,,,,,,,
915,0,205,,,,,,,,
922,0,198,,,,,,,,
934,0,186,,,,,,,,
929,8,183,,,,,,,,
894,35,191,,,,,,,,
865,46,209,,,,,,,,
857,39,224,,,,,,,,
890,6,224,,,,,,,,
891,7,222,,,,,,,,
873,28,219,,,,,,,,
836,45,239,,,,,,,,
807,54,259,,,,,,,,
802,34,284,,,,,,,,
825,6,289,,,,,,,,
831,5,284,,,,,,,,
843,0,277,,,,,,,,
854,1,265,,,,,,,,
873,0,247,,,,,,,,
889,0,231,,,,,,,,
894,3,223,,,,,,,,
913,1,206,,,,,,,,
920,2,198,,,,,,,,
921,4,195,,,,,,,,
941,0,179,,,,,,,,
954,0,166,,,,,,,,
961,0,159,,,,,,,,
968,0,152,,,,,,,,
976,2,142,,,,,,,,
935,29,156,,,,,,,,
849,79,192,,,,,,,,
781,102,237,,,,,,,,
747,91,282,,,,,,,,
765,45,310,,,,,,,,
792,17,311,,,,,,,,
804,11,305,,,,,,,,
821,4,295,,,,,,,,
851,2,267,,,,,,,,
867,1,252,,,,,,,,
878,2,240,,,,,,,,
892,0,228,,,,,,,,
906,1,213,,,,,,,,
904,5,211,,,,,,,,
917,5,198,,,,,,,,
918,5,197,,,,,,,,
909,15,196,,,,,,,,
890,29,201,,,,,,,,
881,23,216,,,,,,,,
867,21,232,,,,,,,,
869,10,241,,,,,,,,
878,2,240,,,,,,,,
890,1,229,,,,,,,,
905,0,215,,,,,,,,
912,1,207,,,,,,,,
923,3,194,,,,,,,,
940,0,180,,,,,,,,
953,0,167,,,,,,,,
971,0,149,,,,,,,,
982,0,138,,,,,,,,
991,1,128,,,,,,,,
1000,1,119,,,,,,,,
1007,1,112,,,,,,,,
971,25,124,,,,,,,,
903,63,154,,,,,,,,
862,66,192,,,,,,,,
872,32,216,,,,,,,,
864,19,237,,,,,,,,
818,55,247,,,,,,,,
781,74,265,,,,,,,,
773,58,289,,,,,,,,
803,19,298,,,,,,,,
826,2,292,,,,,,,,
842,0,278,,,,,,,,
864,1,255,,,,,,,,
873,0,247,,,,,,,,
885,0,235,,,,,,,,
899,1,220,,,,,,,,
897,7,216,,,,,,,,
890,14,216,,,,,,,,
897,9,214,,,,,,,,
915,0,205,,,,,,,,
931,0,189,,,,,,,,
940,1,179,,,,,,,,
937,8,175,,,,,,,,
918,24,178,,,,,,,,
896,43,181,,,,,,,,
891,33,196,,,,,,,,
839,58,223,,,,,,,,
812,61,247,,,,,,,,
792,62,266,,,,,,,,
801,35,284,,,,,,,,
829,7,284,,,,,,,,
842,5,273,,,,,,,,
858,3,259,,,,,,,,
872,0,248,,,,,,,,
884,1,235,,,,,,,,
890,1,229,,,,,,,,
904,0,216,,,,,,,,
922,0,198,,,,,,,,
936,0,184,,,,,,,,
946,0,174,,,,,,,,
948,1,171,,,,,,,,
926,16,178,,,,,,,,
864,57,199,,,,,,,,
849,44,227,,,,,,,,
849,20,251,,,,,,,,
870,6,244,,,,,,,,
866,11,243,,,,,,,,
866,16,238,,,,,,,,
840,33,247,,,,,,,,
830,25,265,,,,,,,,
855,4,261,,,,,,,,
872,1,247,,,,,,,,
882,0,238,,,,,,,,
893,2,225,,,,,,,,
910,0,210,,,,,,,,
895,21,204,,,,,,,,
876,39,205,,,,,,,,
867,40,213,,,,,,,,
867,31,222,,,,,,,,
876,6,238,,,,,,,,
892,3,225,,,,,,,,
899,6,215,,,,,,,,
906,2,212,,,,,,,,
924,0,196,,,,,,,,
932,0,188,,,,,,,,
942,0,178,,,,,,,,
934,12,174,,,,,,,,
899,38,183,,,,,,,,
854,57,209,,,,,,,,
859,40,221,,,,,,,,
853,28,239,,,,,,,,
858,22,240,,,,,,,,
827,41,252,,,,,,,,
813,42,265,,,,,,,,
803,37,280,,,,,,,,
817,14,289,,,,,,,,
840,2,278,,,,,,,,
854,2,264,,,,,,,,
871,0,249,,,,,,,,
881,0,239,,,,,,,,
