tick,quiet,active,jailed,totalPeople,totalAgent,totalCop,totalJailCount
1,952,522,46,1538,1474,64,46
2,862,552,106,1478,1414,64,106
3,862,495,163,1421,1357,64,163
4,865,437,218,1366,1302,64,218
5,874,382,264,1320,1256,64,264
6,878,334,308,1276,1212,64,308
7,887,293,340,1244,1180,64,340
8,887,265,368,1216,1152,64,368
9,890,232,398,1186,1122,64,398
10,895,203,422,1162,1098,64,422
11,899,174,447,1137,1073,64,447
12,901,153,466,1118,1054,64,466
13,902,133,485,1099,1035,64,485
14,901,112,507,1077,1013,64,507
15,905,96,519,1065,1001,64,519
16,906,91,523,1061,997,64,523
17,929,89,502,1082,1018,64,502
18,925,100,495,1089,1025,64,495
19,916,96,508,1076,1012,64,508
20,922,79,519,1065,1001,64,519
21,931,76,513,1071,1007,64,513
22,921,88,511,1073,1009,64,511
23,922,76,522,1062,998,64,522
24,924,75,521,1063,999,64,521
25,935,72,513,1071,1007,64,513
26,933,70,517,1067,1003,64,517
27,924,81,515,1069,1005,64,515
28,915,88,517,1067,1003,64,517
29,920,80,520,1064,1000,64,520
30,928,80,512,1072,1008,64,512
31,940,83,497,1087,1023,64,497
32,923,93,504,1080,1016,64,504
33,924,81,515,1069,1005,64,515
34,925,77,518,1066,1002,64,518
35,919,77,524,1060,996,64,524
36,943,67,510,1074,1010,64,510
37,909,94,517,1067,1003,64,517
38,919,80,521,1063,999,64,521
39,918,82,520,1064,1000,64,520
40,935,78,507,1077,1013,64,507
41,937,88,495,1089,1025,64,495
42,929,92,499,1085,1021,64,499
43,936,78,506,1078,1014,64,506
44,915,85,520,1064,1000,64,520
45,917,77,526,1058,994,64,526
46,925,66,529,1055,991,64,529
47,923,58,539,1045,981,64,539
48,931,64,525,1059,995,64,525
49,933,63,524,1060,996,64,524
50,941,60,519,1065,1001,64,519
51,942,78,500,1084,1020,64,500
52,931,97,492,1092,1028,64,492
53,923,105,492,1092,1028,64,492
54,922,94,504,1080,1016,64,504
55,923,89,508,1076,1012,64,508
56,933,80,507,1077,1013,64,507
57,932,89,499,1085,1021,64,499
58,914,95,511,1073,1009,64,511
59,923,80,517,1067,1003,64,517
60,930,80,510,1074,1010,64,510
61,937,82,501,1083,1019,64,501
62,918,90,512,1072,1008,64,512
63,925,76,519,1065,1001,64,519
64,921,73,526,1058,994,64,526
65,921,62,537,1047,983,64,537
66,921,61,538,1046,982,64,538
67,933,64,523,1061,997,64,523
68,929,69,522,1062,998,64,522
69,925,86,509,1075,1011,64,509
70,941,96,483,1101,1037,64,483
71,927,116,477,1107,1043,64,477
72,923,116,481,1103,1039,64,481
73,932,112,476,1108,1044,64,476
74,929,110,481,1103,1039,64,481
75,925,111,484,1100,1036,64,484
76,931,104,485,1099,1035,64,485
77,934,98,488,1096,1032,64,488
78,936,92,492,1092,1028,64,492
79,946,89,485,1099,1035,64,485
80,933,99,488,1096,1032,64,488
81,924,112,484,1100,1036,64,484
82,929,107,484,1100,1036,64,484
83,915,107,498,1086,1022,64,498
84,919,96,505,1079,1015,64,505
85,923,95,502,1082,1018,64,502
86,944,94,482,1102,1038,64,482
87,924,107,489,1095,1031,64,489
88,921,99,500,1084,1020,64,500
89,912,93,515,1069,1005,64,515
90,898,86,536,1048,984,64,536
91,923,63,534,1050,986,64,534
92,932,58,530,1054,990,64,530
93,929,58,533,1051,987,64,533
94,928,62,530,1054,990,64,530
95,925,71,524,1060,996,64,524
96,926,75,519,1065,1001,64,519
97,935,70,515,1069,1005,64,515
98,918,66,536,1048,984,64,536
99,916,56,548,1036,972,64,548
100,936,66,518,1066,1002,64,518
101,935,75,510,1074,1010,64,510
102,939,86,495,1089,1025,64,495
103,935,94,491,1093,1029,64,491
104,955,83,482,1102,1038,64,482
105,936,104,480,1104,1040,64,480
106,924,103,493,1091,1027,64,493
107,919,98,503,1081,1017,64,503
108,926,95,499,1085,1021,64,499
109,927,92,501,1083,1019,64,501
110,937,92,491,1093,1029,64,491
111,940,93,487,1097,1033,64,487
112,921,95,504,1080,1016,64,504
113,924,84,512,1072,1008,64,512
114,930,90,500,1084,1020,64,500
115,931,95,494,1090,1026,64,494
116,941,94,485,1099,1035,64,485
117,928,105,487,1097,1033,64,487
118,923,104,493,1091,1027,64,493
119,913,111,496,1088,1024,64,496
120,900,109,511,1073,1009,64,511
121,921,86,513,1071,1007,64,513
122,933,83,504,1080,1016,64,504
123,925,85,510,1074,1010,64,510
124,936,73,511,1073,1009,64,511
125,926,69,525,1059,995,64,525
126,920,74,526,1058,994,64,526
127,913,74,533,1051,987,64,533
128,915,67,538,1046,982,64,538
129,924,62,534,1050,986,64,534
130,933,57,530,1054,990,64,530
131,926,64,530,1054,990,64,530
132,933,62,525,1059,995,64,525
133,936,71,513,1071,1007,64,513
134,937,77,506,1078,1014,64,506
135,930,84,506,1078,1014,64,506
136,942,86,492,1092,1028,64,492
137,961,92,467,1117,1053,64,467
138,943,116,461,1123,1059,64,461
139,915,124,481,1103,1039,64,481
140,905,126,489,1095,1031,64,489
141,913,110,497,1087,1023,64,497
142,931,95,494,1090,1026,64,494
143,914,100,506,1078,1014,64,506
144,928,88,504,1080,1016,64,504
145,933,88,499,1085,1021,64,499
146,929,87,504,1080,1016,64,504
147,930,84,506,1078,1014,64,506
148,936,93,491,1093,1029,64,491
149,927,99,494,1090,1026,64,494
150,938,95,487,1097,1033,64,487
151,925,103,492,1092,1028,64,492
152,932,107,481,1103,1039,64,481
153,924,104,492,1092,1028,64,492
154,917,92,511,1073,1009,64,511
155,913,92,515,1069,1005,64,515
156,922,82,516,1068,1004,64,516
157,921,78,521,1063,999,64,521
158,928,71,521,1063,999,64,521
159,934,67,519,1065,1001,64,519
160,935,64,521,1063,999,64,521
161,940,59,521,1063,999,64,521
162,938,69,513,1071,1007,64,513
163,935,79,506,1078,1014,64,506
164,936,79,505,1079,1015,64,505
165,944,76,500,1084,1020,64,500
166,945,72,503,1081,1017,64,503
167,919,78,523,1061,997,64,523
168,938,60,522,1062,998,64,522
169,925,70,525,1059,995,64,525
170,935,62,523,1061,997,64,523
171,942,57,521,1063,999,64,521
172,940,65,515,1069,1005,64,515
173,950,67,503,1081,1017,64,503
174,938,74,508,1076,1012,64,508
175,938,83,499,1085,1021,64,499
176,944,83,493,1091,1027,64,493
177,943,90,487,1097,1033,64,487
178,926,105,489,1095,1031,64,489
179,920,100,500,1084,1020,64,500
180,921,101,498,1086,1022,64,498
181,926,94,500,1084,1020,64,500
182,923,97,500,1084,1020,64,500
183,926,80,514,1070,1006,64,514
184,929,84,507,1077,1013,64,507
185,950,85,485,1099,1035,64,485
186,932,99,489,1095,1031,64,489
187,938,92,490,1094,1030,64,490
188,929,96,495,1089,1025,64,495
189,920,96,504,1080,1016,64,504
190,923,92,505,1079,1015,64,505
191,942,90,488,1096,1032,64,488
192,954,98,468,1116,1052,64,468
193,950,98,472,1112,1048,64,472
194,931,102,487,1097,1033,64,487
195,928,96,496,1088,1024,64,496
196,936,80,504,1080,1016,64,504
197,936,83,501,1083,1019,64,501
198,926,87,507,1077,1013,64,507
199,930,84,506,1078,1014,64,506
200,912,88,520,1064,1000,64,520
201,923,73,524,1060,996,64,524
202,920,76,524,1060,996,64,524
203,925,82,513,1071,1007,64,513
204,909,86,525,1059,995,64,525
205,917,79,524,1060,996,64,524
206,929,77,514,1070,1006,64,514
207,931,80,509,1075,1011,64,509
208,927,79,514,1070,1006,64,514
209,945,73,502,1082,1018,64,502
210,931,83,506,1078,1014,64,506
211,941,75,504,1080,1016,64,504
212,937,78,505,1079,1015,64,505
213,932,85,503,1081,1017,64,503
214,923,90,507,1077,1013,64,507
215,922,102,496,1088,1024,64,496
216,937,94,489,1095,1031,64,489
217,932,94,494,1090,1026,64,494
218,926,96,498,1086,1022,64,498
219,934,81,505,1079,1015,64,505
220,929,88,503,1081,1017,64,503
221,912,83,525,1059,995,64,525
222,924,74,522,1062,998,64,522
223,929,77,514,1070,1006,64,514
224,911,77,532,1052,988,64,532
225,919,65,536,1048,984,64,536
226,926,68,526,1058,994,64,526
227,929,77,514,1070,1006,64,514
228,938,71,511,1073,1009,64,511
229,928,82,510,1074,1010,64,510
230,916,91,513,1071,1007,64,513
231,911,89,520,1064,1000,64,520
232,928,80,512,1072,1008,64,512
233,928,88,504,1080,1016,64,504
234,930,84,506,1078,1014,64,506
235,940,81,499,1085,1021,64,499
236,934,93,493,1091,1027,64,493
237,944,103,473,1111,1047,64,473
238,914,117,489,1095,1031,64,489
239,928,96,496,1088,1024,64,496
240,941,93,486,1098,1034,64,486
241,920,91,509,1075,1011,64,509
242,927,80,513,1071,1007,64,513
243,914,77,529,1055,991,64,529
244,925,64,531,1053,989,64,531
245,932,60,528,1056,992,64,528
246,935,71,514,1070,1006,64,514
247,933,79,508,1076,1012,64,508
248,924,80,516,1068,1004,64,516
249,911,81,528,1056,992,64,528
250,914,67,539,1045,981,64,539
251,922,62,536,1048,984,64,536
252,923,63,534,1050,986,64,534
253,913,76,531,1053,989,64,531
254,916,71,533,1051,987,64,533
255,919,60,541,1043,979,64,541
256,924,64,532,1052,988,64,532
257,942,60,518,1066,1002,64,518
258,927,76,517,1067,1003,64,517
259,931,74,515,1069,1005,64,515
260,925,73,522,1062,998,64,522
261,933,72,515,1069,1005,64,515
262,925,67,528,1056,992,64,528
263,926,63,531,1053,989,64,531
264,945,56,519,1065,1001,64,519
265,943,70,507,1077,1013,64,507
266,946,79,495,1089,1025,64,495
267,938,79,503,1081,1017,64,503
268,924,93,503,1081,1017,64,503
269,927,85,508,1076,1012,64,508
270,921,83,516,1068,1004,64,516
271,938,74,508,1076,1012,64,508
272,934,83,503,1081,1017,64,503
273,931,81,508,1076,1012,64,508
274,932,81,507,1077,1013,64,507
275,930,76,514,1070,1006,64,514
276,932,76,512,1072,1008,64,512
277,924,70,526,1058,994,64,526
278,919,71,530,1054,990,64,530
279,932,68,520,1064,1000,64,520
280,945,79,496,1088,1024,64,496
281,946,90,484,1100,1036,64,484
282,919,107,494,1090,1026,64,494
283,923,94,503,1081,1017,64,503
284,939,95,486,1098,1034,64,486
285,923,106,491,1093,1029,64,491
286,924,99,497,1087,1023,64,497
287,934,90,496,1088,1024,64,496
288,921,97,502,1082,1018,64,502
289,938,89,493,1091,1027,64,493
290,934,91,495,1089,1025,64,495
291,922,95,503,1081,1017,64,503
292,931,90,499,1085,1021,64,499
293,928,89,503,1081,1017,64,503
294,927,90,503,1081,1017,64,503
295,926,83,511,1073,1009,64,511
296,939,74,507,1077,1013,64,507
297,924,85,511,1073,1009,64,511
298,932,82,506,1078,1014,64,506
299,934,95,491,1093,1029,64,491
300,930,96,494,1090,1026,64,494
301,928,98,494,1090,1026,64,494
302,923,104,493,1091,1027,64,493
303,915,100,505,1079,1015,64,505
304,910,94,516,1068,1004,64,516
305,901,79,540,1044,980,64,540
306,920,54,546,1038,974,64,546
307,921,60,539,1045,981,64,539
308,938,49,533,1051,987,64,533
309,929,58,533,1051,987,64,533
310,938,51,531,1053,989,64,531
311,945,60,515,1069,1005,64,515
312,935,65,520,1064,1000,64,520
313,940,68,512,1072,1008,64,512
314,948,67,505,1079,1015,64,505
315,948,60,512,1072,1008,64,512
316,938,84,498,1086,1022,64,498
317,939,78,503,1081,1017,64,503
318,929,87,504,1080,1016,64,504
319,936,83,501,1083,1019,64,501
320,940,81,499,1085,1021,64,499
321,928,88,504,1080,1016,64,504
322,925,89,506,1078,1014,64,506
323,915,94,511,1073,1009,64,511
324,916,78,526,1058,994,64,526
325,939,60,521,1063,999,64,521
326,945,60,515,1069,1005,64,515
327,925,73,522,1062,998,64,522
328,940,64,516,1068,1004,64,516
329,935,80,505,1079,1015,64,505
330,928,86,506,1078,1014,64,506
331,922,82,516,1068,1004,64,516
332,920,74,526,1058,994,64,526
333,942,63,515,1069,1005,64,515
334,933,73,514,1070,1006,64,514
335,934,73,513,1071,1007,64,513
336,923,75,522,1062,998,64,522
337,926,74,520,1064,1000,64,520
338,932,80,508,1076,1012,64,508
339,923,91,506,1078,1014,64,506
340,932,85,503,1081,1017,64,503
341,932,84,504,1080,1016,64,504
342,928,84,508,1076,1012,64,508
343,933,82,505,1079,1015,64,505
344,930,93,497,1087,1023,64,497
345,933,88,499,1085,1021,64,499
346,912,94,514,1070,1006,64,514
347,918,79,523,1061,997,64,523
348,938,61,521,1063,999,64,521
349,922,70,528,1056,992,64,528
350,933,63,524,1060,996,64,524
351,946,72,502,1082,1018,64,502
352,920,88,512,1072,1008,64,512
353,912,82,526,1058,994,64,526
354,914,76,530,1054,990,64,530
355,908,75,537,1047,983,64,537
356,923,71,526,1058,994,64,526
357,933,72,515,1069,1005,64,515
358,928,83,509,1075,1011,64,509
359,928,81,511,1073,1009,64,511
360,928,71,521,1063,999,64,521
361,930,67,523,1061,997,64,523
362,942,69,509,1075,1011,64,509
363,940,66,514,1070,1006,64,514
364,947,70,503,1081,1017,64,503
365,941,78,501,1083,1019,64,501
366,938,82,500,1084,1020,64,500
367,950,78,492,1092,1028,64,492
368,923,104,493,1091,1027,64,493
369,928,101,491,1093,1029,64,491
370,934,99,487,1097,1033,64,487
371,938,89,493,1091,1027,64,493
372,944,90,486,1098,1034,64,486
373,925,101,494,1090,1026,64,494
374,930,103,487,1097,1033,64,487
375,928,101,491,1093,1029,64,491
376,916,95,509,1075,1011,64,509
377,931,81,508,1076,1012,64,508
378,942,64,514,1070,1006,64,514
379,928,75,517,1067,1003,64,517
380,923,75,522,1062,998,64,522
381,919,74,527,1057,993,64,527
382,925,68,527,1057,993,64,527
383,918,67,535,1049,985,64,535
384,939,63,518,1066,1002,64,518
385,940,69,511,1073,1009,64,511
386,932,79,509,1075,1011,64,509
387,926,87,507,1077,1013,64,507
388,920,87,513,1071,1007,64,513
389,924,83,513,1071,1007,64,513
390,923,80,517,1067,1003,64,517
391,922,71,527,1057,993,64,527
392,927,63,530,1054,990,64,530
393,941,54,525,1059,995,64,525
394,932,65,523,1061,997,64,523
395,935,77,508,1076,1012,64,508
396,930,88,502,1082,1018,64,502
397,934,80,506,1078,1014,64,506
398,925,90,505,1079,1015,64,505
399,934,74,512,1072,1008,64,512
400,931,85,504,1080,1016,64,504
401,918,86,516,1068,1004,64,516
402,928,78,514,1070,1006,64,514
403,930,73,517,1067,1003,64,517
404,936,81,503,1081,1017,64,503
405,935,78,507,1077,1013,64,507
406,908,94,518,1066,1002,64,518
407,941,79,500,1084,1020,64,500
408,942,84,494,1090,1026,64,494
409,928,94,498,1086,1022,64,498
410,929,98,493,1091,1027,64,493
411,924,88,508,1076,1012,64,508
412,939,81,500,1084,1020,64,500
413,926,95,499,1085,1021,64,499
414,938,89,493,1091,1027,64,493
415,924,86,510,1074,1010,64,510
