quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,
1076,385,59,,,,,,,,,,
871,532,117,,,,,,,,,,
843,505,172,,,,,,,,,,
843,450,227,,,,,,,,,,
843,398,279,,,,,,,,,,
843,346,331,,,,,,,,,,
845,291,384,,,,,,,,,,
847,241,432,,,,,,,,,,
847,192,481,,,,,,,,,,
851,147,522,,,,,,,,,,
865,96,559,,,,,,,,,,
876,56,588,,,,,,,,,,
904,20,596,,,,,,,,,,
928,11,581,,,,,,,,,,
958,7,555,,,,,,,,,,
953,16,551,,,,,,,,,,
979,5,536,,,,,,,,,,
994,8,518,,,,,,,,,,
1013,8,499,,,,,,,,,,
1031,4,485,,,,,,,,,,
1055,2,463,,,,,,,,,,
1084,0,436,,,,,,,,,,
1111,2,407,,,,,,,,,,
1113,13,394,,,,,,,,,,
1093,42,385,,,,,,,,,,
1040,82,398,,,,,,,,,,
915,176,429,,,,,,,,,,
846,233,441,,,,,,,,,,
844,206,470,,,,,,,,,,
844,189,487,,,,,,,,,,
846,165,509,,,,,,,,,,
852,135,533,,,,,,,,,,
850,113,557,,,,,,,,,,
860,96,564,,,,,,,,,,
866,71,583,,,,,,,,,,
865,54,601,,,,,,,,,,
893,36,591,,,,,,,,,,
920,16,584,,,,,,,,,,
948,0,572,,,,,,,,,,
982,0,538,,,,,,,,,,
1013,0,507,,,,,,,,,,
1037,3,480,,,,,,,,,,
1057,5,458,,,,,,,,,,
1077,6,437,,,,,,,,,,
1088,5,427,,,,,,,,,,
1116,2,402,,,,,,,,,,
1106,22,392,,,,,,,,,,
1056,70,394,,,,,,,,,,
1000,119,401,,,,,,,,,,
942,143,435,,,,,,,,,,
880,171,469,,,,,,,,,,
854,177,489,,,,,,,,,,
854,152,514,,,,,,,,,,
851,135,534,,,,,,,,,,
846,114,560,,,,,,,,,,
844,97,579,,,,,,,,,,
859,67,594,,,,,,,,,,
869,44,607,,,,,,,,,,
907,12,601,,,,,,,,,,
939,5,576,,,,,,,,,,
989,0,531,,,,,,,,,,
1016,4,500,,,,,,,,,,
1045,3,472,,,,,,,,,,
1073,0,447,,,,,,,,,,
1094,0,426,,,,,,,,,,
1115,0,405,,,,,,,,,,
1143,0,377,,,,,,,,,,
1162,1,357,,,,,,,,,,
1173,8,339,,,,,,,,,,
1140,35,345,,,,,,,,,,
1007,137,376,,,,,,,,,,
890,223,407,,,,,,,,,,
843,247,430,,,,,,,,,,
843,221,456,,,,,,,,,,
843,187,490,,,,,,,,,,
849,153,518,,,,,,,,,,
851,126,543,,,,,,,,,,
858,103,559,,,,,,,,,,
865,76,579,,,,,,,,,,
897,42,581,,,,,,,,,,
920,23,577,,,,,,,,,,
939,16,565,,,,,,,,,,
952,26,542,,,,,,,,,,
953,28,539,,,,,,,,,,
976,20,524,,,,,,,,,,
1004,7,509,,,,,,,,,,
1013,19,488,,,,,,,,,,
996,44,480,,,,,,,,,,
997,46,477,,,,,,,,,,
979,56,485,,,,,,,,,,
950,63,507,,,,,,,,,,
933,62,525,,,,,,,,,,
935,44,541,,,,,,,,,,
939,33,548,,,,,,,,,,
949,24,547,,,,,,,,,,
921,48,551,,,,,,,,,,
913,57,550,,,,,,,,,,
930,44,546,,,,,,,,,,
931,49,540,,,,,,,,,,
936,58,526,,,,,,,,,,
972,36,512,,,,,,,,,,
992,34,494,,,,,,,,,,
995,35,490,,,,,,,,,,
996,44,480,,,,,,,,,,
971,71,478,,,,,,,,,,
924,99,497,,,,,,,,,,
915,79,526,,,,,,,,,,
928,50,542,,,,,,,,,,
928,38,554,,,,,,,,,,
932,39,549,,,,,,,,,,
946,37,537,,,,,,,,,,
968,23,529,,,,,,,,,,
1006,8,506,,,,,,,,,,
1035,1,484,,,,,,,,,,
1063,4,453,,,,,,,,,,
1101,2,417,,,,,,,,,,
1077,37,406,,,,,,,,,,
1059,50,411,,,,,,,,,,
1064,56,400,,,,,,,,,,
999,104,417,,,,,,,,,,
955,139,426,,,,,,,,,,
901,170,449,,,,,,,,,,
856,177,487,,,,,,,,,,
843,160,517,,,,,,,,,,
849,140,531,,,,,,,,,,
859,110,551,,,,,,,,,,
868,81,571,,,,,,,,,,
875,56,589,,,,,,,,,,
908,31,581,,,,,,,,,,
941,9,570,,,,,,,,,,
976,1,543,,,,,,,,,,
1018,1,501,,,,,,,,,,
1034,6,480,,,,,,,,,,
1062,1,457,,,,,,,,,,
1075,12,433,,,,,,,,,,
1100,6,414,,,,,,,,,,
1115,11,394,,,,,,,,,,
1086,37,397,,,,,,,,,,
1046,74,400,,,,,,,,,,
949,147,424,,,,,,,,,,
894,167,459,,,,,,,,,,
863,160,497,,,,,,,,,,
856,136,528,,,,,,,,,,
865,96,559,,,,,,,,,,
868,70,582,,,,,,,,,,
886,34,600,,,,,,,,,,
915,9,596,,,,,,,,,,
963,4,553,,,,,,,,,,
989,6,525,,,,,,,,,,
1036,1,483,,,,,,,,,,
1050,6,464,,,,,,,,,,
1042,25,453,,,,,,,,,,
1011,57,452,,,,,,,,,,
980,74,466,,,,,,,,,,
973,73,474,,,,,,,,,,
905,111,504,,,,,,,,,,
878,116,526,,,,,,,,,,
875,100,545,,,,,,,,,,
896,58,566,,,,,,,,,,
925,32,563,,,,,,,,,,
960,12,548,,,,,,,,,,
992,0,528,,,,,,,,,,
1013,3,504,,,,,,,,,,
1006,35,479,,,,,,,,,,
979,65,476,,,,,,,,,,
936,107,477,,,,,,,,,,
883,141,496,,,,,,,,,,
858,152,510,,,,,,,,,,
849,135,536,,,,,,,,,,
856,108,556,,,,,,,,,,
873,73,574,,,,,,,,,,
898,49,573,,,,,,,,,,
918,39,563,,,,,,,,,,
919,32,569,,,,,,,,,,
930,21,569,,,,,,,,,,
974,4,542,,,,,,,,,,
990,11,519,,,,,,,,,,
1026,3,491,,,,,,,,,,
1061,0,459,,,,,,,,,,
1074,11,435,,,,,,,,,,
1089,14,417,,,,,,,,,,
1086,16,418,,,,,,,,,,
1121,5,394,,,,,,,,,,
1141,4,375,,,,,,,,,,
1174,7,339,,,,,,,,,,
1200,4,316,,,,,,,,,,
1201,12,307,,,,,,,,,,
1179,27,314,,,,,,,,,,
1014,163,343,,,,,,,,,,
890,254,376,,,,,,,,,,
866,246,408,,,,,,,,,,
861,219,440,,,,,,,,,,
867,181,472,,,,,,,,,,
871,156,493,,,,,,,,,,
877,128,515,,,,,,,,,,
871,110,539,,,,,,,,,,
856,103,561,,,,,,,,,,
869,69,582,,,,,,,,,,
880,42,598,,,,,,,,,,
917,25,578,,,,,,,,,,
933,20,567,,,,,,,,,,
944,22,554,,,,,,,,,,
933,27,560,,,,,,,,,,
951,14,555,,,,,,,,,,
986,4,530,,,,,,,,,,
1007,2,511,,,,,,,,,,
1037,1,482,,,,,,,,,,
1061,0,459,,,,,,,,,,
1086,4,430,,,,,,,,,,
1091,17,412,,,,,,,,,,
1086,31,403,,,,,,,,,,
1077,39,404,,,,,,,,,,
1028,78,414,,,,,,,,,,
