quiet,active,jailed
1099,3,18
1099,1,20
1099,1,20
1099,1,20
1099,1,20
1099,1,20
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1099,0,21
1098,2,20
604,435,81
604,373,143
604,311,205
604,260,256
604,201,315
604,153,363
604,107,409
605,62,453
606,36,478
630,14,476
650,8,462
677,0,443
690,0,430
712,0,408
733,0,387
750,2,368
604,98,418
604,70,446
604,40,476
622,20,478
634,14,472
664,0,456
692,0,428
723,0,397
743,0,377
769,0,351
799,0,321
826,0,294
850,0,270
872,0,248
907,0,213
927,0,193
948,0,172
976,0,144
990,0,130
1006,0,114
1014,0,106
1023,0,97
1036,0,84
1045,0,75
1053,0,67
1059,0,61
1067,0,53
1071,0,49
1083,0,37
1091,0,29
1095,0,25
1096,0,24
1099,0,21
1099,0,21
1099,0,21
1099,1,20
607,430,83
604,373,143
604,315,201
604,255,261
604,200,316
604,150,366
604,106,410
604,79,437
604,52,464
604,34,482
617,23,480
626,15,479
657,1,462
677,0,443
689,0,431
707,0,413
733,0,387
757,1,362
778,0,342
798,1,321
819,0,301
840,0,280
850,0,270
868,1,251
604,224,292
604,184,332
604,144,372
604,128,388
604,106,410
604,91,425
604,77,439
604,66,450
604,55,461
604,51,465
604,40,476
605,38,477
604,41,475
604,39,477
604,31,485
607,27,486
610,27,483
614,24,482
618,18,484
622,18,480
627,26,467
622,28,470
623,33,464
621,29,470
630,19,471
640,20,460
645,16,459
653,15,452
650,25,445
604,54,462
604,43,473
604,43,473
604,42,474
604,43,473
604,54,462
604,60,456
604,63,453
604,73,443
604,78,438
604,73,443
604,78,438
604,84,432
604,79,437
604,76,440
604,69,447
604,65,451
604,62,454
604,57,459
604,53,463
604,50,466
604,46,470
604,53,463
604,53,463
604,47,469
604,53,463
604,53,463
604,51,465
604,47,469
604,44,472
604,43,473
604,48,468
604,58,458
604,70,446
604,74,442
604,74,442
604,76,440
604,72,444
604,69,447
604,75,441
604,71,445
604,69,447
604,82,434
604,81,435
604,95,421
604,96,420
604,103,413
604,100,416
604,94,422
604,104,412
604,109,407
604,111,405
604,114,402
604,110,406
604,109,407
604,111,405
604,110,406
604,109,407
604,114,402
604,116,400
604,115,401
604,126,390
604,131,385
604,132,384
604,132,384
604,133,383
604,131,385
604,125,391
604,124,392
604,119,397
604,130,386
604,140,376
604,138,378
604,146,370
604,144,372
604,136,380
604,130,386
604,133,383
604,129,387
604,135,381
604,131,385
604,137,379
604,133,383
604,136,380
604,138,378
604,137,379
604,133,383
604,137,379
604,139,377
604,139,377
604,138,378
604,133,383
604,132,384
604,141,375
604,141,375
604,143,373
604,141,375
604,127,389
604,119,397
604,122,394
604,113,403
604,114,402
604,114,402
604,123,393
604,117,399
604,123,393
604,117,399
604,123,393
604,117,399
604,119,397
604,119,397
604,123,393
604,117,399
604,112,404
604,108,408
604,113,403
604,112,404
604,107,409
604,116,400
604,126,390
604,138,378
604,135,381
604,132,384
604,143,373
604,140,376
604,143,373
604,142,374
604,146,370
604,153,363
604,145,371
604,143,373
604,136,380
604,121,395
604,131,385
604,129,387
604,124,392
604,125,391
604,131,385
604,128,388
604,121,395
604,128,388
604,122,394
604,117,399
604,121,395
604,123,393
604,119,397
604,114,402
604,126,390
604,124,392
604,113,403
604,119,397
604,118,398
604,121,395
604,119,397
604,124,392
604,123,393
604,126,390
604,126,390
604,120,396
604,109,407
604,105,411
604,111,405
604,113,403
604,108,408
604,117,399
604,120,396
604,133,383
604,127,389
604,122,394
604,122,394
604,116,400
604,112,404
604,115,401
604,112,404
604,120,396
604,129,387
604,128,388
604,136,380
604,137,379
604,136,380
604,146,370
604,139,377
604,141,375
604,147,369
604,154,362
604,153,363
604,157,359
604,158,358
604,163,353
604,164,352
604,159,357
604,156,360
604,154,362
604,151,365
604,153,363
604,150,366
604,145,371
604,139,377
604,131,385
604,136,380
604,133,383
604,122,394
604,116,400
604,113,403
604,110,406
604,108,408
604,108,408
604,110,406
604,104,412
604,109,407
604,98,418
604,91,425
604,95,421
604,100,416
604,103,413
604,99,417
604,96,420
604,90,426
604,85,431
604,78,438
604,70,446
604,62,454
604,61,455
604,60,456
604,59,457
604,65,451
604,60,456
604,68,448
604,65,451
604,72,444
604,70,446
604,82,434
604,80,436
604,82,434
604,88,428
604,85,431
604,90,426
604,92,424
604,94,422
604,84,432
604,69,447
604,71,445
604,77,439
604,74,442
604,80,436
604,87,429
604,92,424
604,104,412
604,106,410
604,109,407
604,112,404
604,109,407
604,102,414
604,95,421
604,95,421
604,91,425
604,94,422
604,95,421
604,92,424
604,101,415
604,106,410
604,105,411
604,97,419
604,100,416
604,104,412
604,101,415
604,106,410
604,113,403
604,121,395
604,129,387
604,121,395
604,123,393
604,123,393
604,120,396
604,113,403
604,117,399
604,119,397
604,122,394
604,128,388
604,134,382
604,128,388
604,136,380
604,134,382
604,129,387
604,122,394
604,118,398
604,119,397
604,112,404
604,118,398
604,121,395
604,112,404
604,111,405
604,114,402
604,116,400
604,114,402
604,114,402
604,114,402
604,116,400
604,121,395
604,126,390
604,128,388
604,133,383
604,138,378
604,139,377
604,138,378
604,137,379
604,138,378
604,130,386
604,115,401
604,110,406
604,105,411
604,97,419
604,90,426
604,91,425
604,86,430
604,90,426
604,91,425
604,95,421
604,87,429
604,88,428
604,79,437
604,77,439
604,82,434
604,73,443
604,69,447
604,66,450
604,65,451
604,61,455
604,65,451
604,70,446
604,79,437
604,82,434
604,85,431
604,89,427
604,90,426
604,99,417
604,99,417
604,97,419
604,105,411
604,92,424
604,91,425
604,96,420
604,98,418
604,105,411
604,104,412
604,104,412
604,90,426
604,95,421
604,95,421
604,102,414
604,105,411
604,114,402
604,111,405
604,111,405
604,108,408
604,102,414
604,105,411
604,95,421
604,91,425
604,92,424
604,84,432
604,82,434
604,82,434
609,82,429
606,91,423
609,91,420
604,96,420
604,97,419
606,94,420
604,85,431
604,92,424
604,87,429
604,75,441
604,75,441
604,74,442
604,76,440
604,79,437
604,76,440
604,81,435
604,87,429
604,99,417
604,92,424
604,96,420
604,95,421
604,94,422
604,98,418
604,100,416
604,99,417
604,97,419
604,99,417
604,102,414
604,97,419
604,108,408
604,121,395
604,128,388
604,127,389
604,128,388
604,130,386
604,127,389
604,126,390
604,130,386
604,130,386
604,125,391
604,125,391
604,118,398
604,118,398
604,114,402
604,118,398
604,122,394
604,117,399
604,106,410
604,105,411
604,99,417
604,100,416
604,100,416
604,92,424
604,91,425
604,87,429
604,84,432
604,75,441
604,73,443
604,74,442
604,76,440
604,83,433
604,83,433
604,91,425
604,90,426
604,83,433
604,76,440
604,79,437
604,82,434
604,86,430
604,96,420
604,108,408
604,104,412
604,109,407
604,105,411
604,102,414
604,94,422
604,90,426
604,88,428
604,88,428
604,94,422
604,94,422
604,95,421
604,98,418
604,95,421
604,94,422
604,90,426
604,91,425
604,89,427
604,84,432
604,87,429
604,82,434
604,85,431
604,100,416
604,106,410
604,106,410
604,110,406
604,107,409
604,103,413
604,100,416
604,105,411
604,98,418
604,98,418
604,108,408
604,110,406
604,111,405
604,108,408
604,104,412
604,93,423
604,105,411
604,98,418
604,95,421
604,96,420
604,91,425
604,90,426
604,82,434
604,89,427
604,95,421
604,93,423
604,102,414
604,103,413
604,101,415
604,108,408
604,103,413
604,104,412
604,94,422
604,93,423
604,83,433
604,87,429
604,88,428
604,91,425
604,92,424
604,92,424
604,93,423
604,99,417
604,92,424
604,89,427
604,94,422
604,97,419
604,97,419
604,102,414
604,99,417
604,94,422
604,92,424
604,98,418
604,93,423
604,101,415
604,114,402
604,112,404
604,110,406
604,109,407
604,116,400
604,114,402
604,110,406
604,115,401
604,110,406
604,100,416
604,106,410
604,114,402
604,110,406
604,101,415
604,89,427
604,78,438
604,81,435
604,78,438
604,82,434
604,83,433
604,90,426
604,93,423
604,90,426
604,93,423
604,90,426
604,87,429
604,75,441
604,72,444
604,80,436
604,86,430
604,83,433
604,87,429
604,80,436
604,73,443
604,78,438
604,77,439
604,74,442
604,78,438
604,76,440
604,79,437
604,89,427
604,88,428
604,91,425
604,91,425
604,85,431
604,81,435
604,85,431
604,87,429
604,85,431
604,80,436
604,81,435
604,79,437
604,80,436
604,80,436
604,73,443
604,65,451
604,70,446
604,64,452
604,62,454
604,59,457
605,69,446
604,67,449
604,73,443
604,77,439
604,75,441
604,80,436
604,81,435
604,83,433
604,78,438
604,72,444
604,74,442
604,85,431
604,93,423
604,85,431
604,82,434
604,86,430
604,92,424
604,98,418
604,94,422
604,96,420
604,103,413
604,96,420
604,93,423
604,94,422
604,104,412
604,100,416
604,99,417
604,104,412
604,104,412
604,103,413
604,100,416
604,107,409
604,99,417
604,96,420
604,103,413
604,105,411
604,101,415
604,102,414
604,108,408
604,114,402
604,108,408
604,106,410
604,100,416
604,91,425
604,94,422
604,91,425
604,77,439
604,80,436
604,90,426
604,93,423
604,97,419
604,93,423
604,97,419
604,95,421
604,89,427
604,92,424
604,98,418
604,106,410
604,98,418
604,87,429
604,83,433
604,86,430
604,89,427
604,88,428
604,91,425
604,96,420
604,94,422
604,86,430
604,81,435
604,84,432
604,90,426
604,98,418
604,99,417
604,111,405
604,112,404
604,115,401
604,117,399
604,120,396
604,127,389
604,126,390
604,133,383
604,134,382
604,139,377
604,133,383
604,136,380
604,131,385
604,137,379
604,131,385
604,131,385
604,122,394
604,120,396
604,116,400
604,115,401
604,113,403
604,108,408
604,110,406
604,107,409
604,106,410
604,96,420
604,99,417
604,89,427
604,87,429
604,82,434
604,87,429
604,93,423
604,90,426
604,97,419
604,87,429
604,82,434
604,82,434
604,70,446
604,71,445
604,65,451
604,69,447
604,64,452
604,60,456
604,60,456
604,62,454
604,65,451
604,58,458
604,64,452
604,65,451
604,76,440
604,82,434
604,84,432
604,83,433
604,92,424
604,106,410
604,100,416
604,99,417
604,94,422
604,98,418
604,99,417
604,102,414
604,97,419
604,96,420
604,97,419
604,97,419
604,86,430
604,79,437
604,76,440
604,78,438
604,79,437
604,86,430
604,83,433
604,89,427
604,83,433
604,80,436
604,85,431
